arm,model,layer,source_turn,target_turn,r2
armG,pretrained,19,8,1,-0.19990522244405118
armG,pretrained,19,8,10,0.6330285458490544
armG,pretrained,19,8,11,0.634921998543768
armG,pretrained,19,8,12,0.6374173983813727
armG,pretrained,19,8,13,0.6330023327517038
armG,pretrained,19,8,14,0.6292734250366963
armG,pretrained,19,8,15,0.628079246210864
armG,pretrained,19,8,16,0.6252311581296005
armG,pretrained,19,8,2,0.27577819917459034
armG,pretrained,19,8,3,0.4862583908401408
armG,pretrained,19,8,4,0.55483801346827
armG,pretrained,19,8,5,0.5909758519218933
armG,pretrained,19,8,6,0.6087528571034999
armG,pretrained,19,8,7,0.6224597123455151
armG,pretrained,19,8,8,0.6290750545324064
armG,pretrained,19,8,9,0.6313543521657037
armG,pretrained,19,9,1,-0.17287319568181103
armG,pretrained,19,9,10,0.6359357040088995
armG,pretrained,19,9,11,0.6391038156344822
armG,pretrained,19,9,12,0.6429495152567881
armG,pretrained,19,9,13,0.638982684313004
armG,pretrained,19,9,14,0.6360237965711302
armG,pretrained,19,9,15,0.6361749368123112
armG,pretrained,19,9,16,0.6329156584186254
armG,pretrained,19,9,2,0.28724675018252344
armG,pretrained,19,9,3,0.48175385236351087
armG,pretrained,19,9,4,0.5502662948938704
armG,pretrained,19,9,5,0.5872172603255722
armG,pretrained,19,9,6,0.6055526522801422
armG,pretrained,19,9,7,0.6204412680171063
armG,pretrained,19,9,8,0.6277319793052013
armG,pretrained,19,9,9,0.6336218284791425
armR_own,instruct,19,1,1,0.5898013373074287
armR_own,instruct,19,1,10,0.32152250138820104
armR_own,instruct,19,1,11,0.3165144548996699
armR_own,instruct,19,1,12,0.31689869282486116
armR_own,instruct,19,1,2,0.45822189718260664
armR_own,instruct,19,1,3,0.4119729698156027
armR_own,instruct,19,1,4,0.38842771583361724
armR_own,instruct,19,1,5,0.3710807130277849
armR_own,instruct,19,1,6,0.35397779214008773
armR_own,instruct,19,1,7,0.34492038045396556
armR_own,instruct,19,1,8,0.3375750294416452
armR_own,instruct,19,1,9,0.3268512466941089
armR_own,instruct,19,10,1,0.39531572668748105
armR_own,instruct,19,10,10,0.5476953180810378
armR_own,instruct,19,10,11,0.5495336320597394
armR_own,instruct,19,10,12,0.5520415388201281
armR_own,instruct,19,10,2,0.498137110625984
armR_own,instruct,19,10,3,0.520131391765345
armR_own,instruct,19,10,4,0.5354026701186186
armR_own,instruct,19,10,5,0.5390615361216254
armR_own,instruct,19,10,6,0.5407806223250726
armR_own,instruct,19,10,7,0.5476265835871299
armR_own,instruct,19,10,8,0.5479162582273439
armR_own,instruct,19,10,9,0.5463709031496411
armR_own,instruct,19,11,1,0.3947408431096081
armR_own,instruct,19,11,10,0.5493212142021757
armR_own,instruct,19,11,11,0.5475968982355066
armR_own,instruct,19,11,12,0.5522416039469521
armR_own,instruct,19,11,2,0.4945336792822901
armR_own,instruct,19,11,3,0.5184014826427696
armR_own,instruct,19,11,4,0.5325077204614936
armR_own,instruct,19,11,5,0.5382189321292021
armR_own,instruct,19,11,6,0.5383284002353595
armR_own,instruct,19,11,7,0.547191419295626
armR_own,instruct,19,11,8,0.5462847496438925
armR_own,instruct,19,11,9,0.5460141692964029
armR_own,instruct,19,12,1,0.39369537748711103
armR_own,instruct,19,12,10,0.5474313963554741
armR_own,instruct,19,12,11,0.5479578040270201
armR_own,instruct,19,12,12,0.5514873585304045
armR_own,instruct,19,12,2,0.49228320036374196
armR_own,instruct,19,12,3,0.5165401130561266
armR_own,instruct,19,12,4,0.5302842951859901
armR_own,instruct,19,12,5,0.5355470325407226
armR_own,instruct,19,12,6,0.5373476793749986
armR_own,instruct,19,12,7,0.5450970185509878
armR_own,instruct,19,12,8,0.546384343859736
armR_own,instruct,19,12,9,0.5442319307043437
armR_own,instruct,19,2,1,0.5142464029532613
armR_own,instruct,19,2,10,0.49310806249503214
armR_own,instruct,19,2,11,0.4902361093635422
armR_own,instruct,19,2,12,0.4892522504342155
armR_own,instruct,19,2,2,0.553445421950764
armR_own,instruct,19,2,3,0.5374433343975706
armR_own,instruct,19,2,4,0.5303838612696048
armR_own,instruct,19,2,5,0.5203994785883816
armR_own,instruct,19,2,6,0.5111555250765338
armR_own,instruct,19,2,7,0.5086717728032071
armR_own,instruct,19,2,8,0.5028689642985298
armR_own,instruct,19,2,9,0.49624262941769315
armR_own,instruct,19,3,1,0.4775211088665584
armR_own,instruct,19,3,10,0.5236470514903758
armR_own,instruct,19,3,11,0.5225393506042553
armR_own,instruct,19,3,12,0.5232171450904959
armR_own,instruct,19,3,2,0.5424459033962932
armR_own,instruct,19,3,3,0.5465727330327743
armR_own,instruct,19,3,4,0.5460591184718089
armR_own,instruct,19,3,5,0.5417160059857131
armR_own,instruct,19,3,6,0.5346177741115458
armR_own,instruct,19,3,7,0.534916897615227
armR_own,instruct,19,3,8,0.5297111891050651
armR_own,instruct,19,3,9,0.5255985676207191
armR_own,instruct,19,4,1,0.44918021062670843
armR_own,instruct,19,4,10,0.5371201663826211
armR_own,instruct,19,4,11,0.5334946224473625
armR_own,instruct,19,4,12,0.5359597986594793
armR_own,instruct,19,4,2,0.5330622154770015
armR_own,instruct,19,4,3,0.5431526163073798
armR_own,instruct,19,4,4,0.5480146509221983
armR_own,instruct,19,4,5,0.5462020099509632
armR_own,instruct,19,4,6,0.5425468817768045
armR_own,instruct,19,4,7,0.5439101138571226
armR_own,instruct,19,4,8,0.5392300717167238
armR_own,instruct,19,4,9,0.5363124773463428
armR_own,instruct,19,5,1,0.44511104812484925
armR_own,instruct,19,5,10,0.5417716530093679
armR_own,instruct,19,5,11,0.5407529530893811
armR_own,instruct,19,5,12,0.5419122818064379
armR_own,instruct,19,5,2,0.5245689572749453
armR_own,instruct,19,5,3,0.5396327366439069
armR_own,instruct,19,5,4,0.5473080582610726
armR_own,instruct,19,5,5,0.5475264825260622
armR_own,instruct,19,5,6,0.544182389473836
armR_own,instruct,19,5,7,0.5476084950125687
armR_own,instruct,19,5,8,0.54470472683644
armR_own,instruct,19,5,9,0.5417188394051028
armR_own,instruct,19,6,1,0.4252462227011178
armR_own,instruct,19,6,10,0.5441325312058369
