arm,model,layer,turn,mapping,n,r2,null_mean,null_hi,null_max,r2_folds
armG,pretrained,18,13,ctx,5000,0.6147859522067349,,,,0.619525;0.609990;0.612090;0.615578;0.616896;0.612818
armG,pretrained,18,13,pfx,5000,0.5023279498382134,,,,0.505795;0.499050;0.500889;0.497051;0.506142;0.502659
armG,pretrained,18,14,ctx,5000,0.6156697324260592,,,,0.617554;0.618451;0.611270;0.618644;0.612885;0.613223
armG,pretrained,18,14,pfx,5000,0.5003915185017096,,,,0.500661;0.511264;0.495467;0.499954;0.499787;0.492661
armG,pretrained,18,15,ctx,5000,0.616278978099132,,,,0.621457;0.619790;0.609927;0.616262;0.619886;0.608711
armG,pretrained,18,15,pfx,5000,0.5006728684396964,,,,0.506241;0.512759;0.489571;0.499874;0.510636;0.483223
armG,pretrained,18,16,ctx,5000,0.6214047146473154,,,,0.625327;0.619506;0.617515;0.626952;0.613523;0.623536
armG,pretrained,18,16,pfx,5000,0.5011211196644059,,,,0.503195;0.510462;0.493841;0.502137;0.495021;0.499631
armG,pretrained,19,1,ctx,5000,0.3438549169522669,-0.17072316035361293,-0.16628996324232356,-0.16537070698270484,0.331926;0.338147;0.349443;0.343931;0.355557;0.339803
armG,pretrained,19,2,ctx,5000,0.42667173804932745,-0.17097465229830017,-0.16582814770769808,-0.1638735140951204,0.430684;0.425012;0.421614;0.420611;0.434498;0.424243
armG,pretrained,19,2,pfx,5000,0.2523060567934893,-0.1771772617162206,-0.17194849367425474,-0.1692188382407247,0.252563;0.249744;0.249958;0.248011;0.263061;0.246175
armG,pretrained,19,3,ctx,5000,0.5392840743667138,-0.17056876540455462,-0.1652300269576919,-0.16092669354993716,0.542070;0.533104;0.534068;0.537980;0.545329;0.540807
armG,pretrained,19,3,pfx,5000,0.40776214696355195,-0.17785948443495359,-0.17139085564639614,-0.16935731690250022,0.414030;0.403284;0.400436;0.403414;0.411599;0.410713
armG,pretrained,19,4,ctx,5000,0.5809476398784692,-0.16762877895205824,-0.1612042304252288,-0.159361300457604,0.582819;0.573110;0.575866;0.575615;0.591451;0.584669
armG,pretrained,19,4,pfx,5000,0.4540156562751809,-0.17242315402880004,-0.16555888409895864,-0.16306024954968756,0.459255;0.438468;0.451584;0.447687;0.462400;0.461908
armG,pretrained,19,5,ctx,5000,0.6021485941344809,-0.16507571564083193,-0.15900824771917882,-0.15505408079199023,0.600913;0.593554;0.601936;0.599283;0.608775;0.606367
armG,pretrained,19,5,pfx,5000,0.48320278230893277,-0.16747034119457693,-0.16102735487771117,-0.15555937622081095,0.479457;0.474630;0.478377;0.481227;0.493453;0.489488
armG,pretrained,19,6,ctx,5000,0.6129091192146472,-0.16339168551083347,-0.15577088378960505,-0.15264394604583065,0.606798;0.609785;0.616280;0.608680;0.614471;0.619616
armG,pretrained,19,6,pfx,5000,0.4966671874949866,-0.16349523970638857,-0.15776862180611298,-0.1534166563698871,0.491108;0.497297;0.498854;0.488537;0.505668;0.496110
armG,pretrained,19,7,ctx,5000,0.6236306937504483,-0.16213318954974562,-0.15408253561905128,-0.14760670601847492,0.623226;0.620583;0.621453;0.625155;0.619624;0.629870
armG,pretrained,19,7,pfx,5000,0.5075228851305102,-0.16163119736236342,-0.15486704852773522,-0.15154060636687916,0.505898;0.503531;0.508773;0.509230;0.501436;0.513836
armG,pretrained,19,8,ctx,5000,0.6293773872955772,-0.1620900775810214,-0.15405251662935837,-0.15196269417152442,0.625783;0.627441;0.629447;0.628554;0.631433;0.631866
armG,pretrained,19,8,pfx,5000,0.5066576355316136,-0.1613879369745471,-0.15345972542623898,-0.15229339658948948,0.504929;0.504788;0.508022;0.499807;0.507823;0.512206
armG,pretrained,19,9,ctx,5000,0.63394497574767,-0.1618139541276813,-0.15406162537859425,-0.14975944370193717,0.640826;0.628143;0.625360;0.635000;0.634085;0.638347
armG,pretrained,19,9,pfx,5000,0.5134614074018475,-0.16035393109799986,-0.15256195893902313,-0.15126688967074386,0.522190;0.509145;0.497363;0.511769;0.518169;0.519582
armG,pretrained,19,10,ctx,5000,0.63553326504954,-0.1610928451577234,-0.15295755168686334,-0.14843432258582068,0.638595;0.635356;0.631409;0.628939;0.638298;0.638776
armG,pretrained,19,10,pfx,5000,0.5116513744791529,-0.160495398798691,-0.15366487450897984,-0.1462016691820165,0.510582;0.521442;0.495055;0.504981;0.519161;0.516563
armG,pretrained,19,11,ctx,5000,0.6419009923651883,-0.16031371140126174,-0.1516490749306419,-0.14902246103765027,0.646661;0.636765;0.639057;0.645934;0.641324;0.639909
armG,pretrained,19,11,pfx,5000,0.5216511620985362,-0.1599911389507955,-0.15084640390209733,-0.14962019308490615,0.525884;0.525981;0.511783;0.518974;0.521214;0.523805
armG,pretrained,19,12,ctx,5000,0.6474492508230132,-0.15921510557211893,-0.15176945733832828,-0.14870787168805744,0.649730;0.643621;0.647047;0.645186;0.649772;0.647564
armG,pretrained,19,12,pfx,5000,0.5243866587581061,-0.1587292262969712,-0.14983701207009412,-0.14748954897332256,0.523399;0.525689;0.521351;0.518966;0.526320;0.528343
